ID,Title,Author,Year,Edition,MD5,Filesize,Extension,Identifier,id
4034047,"A Manual for Writers of Research Papers, Theses, and Dissertations: Chicago Style for Students and Researchers",Kate L. Turabian,2022,9,930D39450AF82283C27AD3137D75E50D,25035938,pdf,"9780226494425,9780226430577,9780226430607",34359815867
1299190,Social Research Methods,Alan Bryman,2012,4,53c9cfda1bba3f7f3b24530b231b3f6e,16916696,pdf,"0199588058,9780199588053",6828998132676
3366636,Human Anatomy & Physiology Laboratory Manual,"Elaine Marieb, Lori Smith",2022,12,E120E3B8DC6ED8B78DBA9ADC673DD360,75451269,pdf,"1292442255,9781292442259",8065948691325
4124716,Precalculus. Mathematics for Calculus,"James Stewart, Lothar Redlin, Saleem Watson",2024,8,F7C71471694DD8C1B93CD491EAF5B8AE,80790312,pdf,,8590097889
1600849,"Doing Your Research Project: A Guide for First-Time Researchers in Education, Health and Social Science",Judith Bell,2010,5,9151012150d8964e22ef8e5b362e2ff5,2773374,pdf,9780335235827 (pb),1975685068201
2954437,The study skills handbook,Stella Cottrell,2019,Fifth,712F058907ECF2AB6F80E9D34AE24299,15442827,pdf,"9781137610874,1137610875",1382979619929
1523639,THE ELEMENTS OF STYLE (UPDATED 2011 EDITION),"William Strunk, William Strunk Junior, The Elements of Style by William Strunk, The Elements of Style Press, Chris Hong",2011,,ddfaf85055b2ac7d69adbd6e8b331a8b,472503,pdf,",",5042291807662
4386046,Psychology of Eating: From Biology to Culture to Policy,"Emily Crews Splane, Neil E. Rowland, Anaya Mitra",2025,3,639A7DE4BD42B134E523FFD7A127E72E,33672214,pdf,"1032621389,9781032621388",1958505133798
4284968,Discovering Statistics Using IBM SPSS Statistics,Andy Field,2024,6,13451CC75AD6F91E28CE9C8AD02425BA,69549082,pdf,"1529630002,9781529630008",1400159517117
3042617,Mind and Body in Early China: Beyond Orientalism and the Myth of Holism,Edward Slingerland,2018,,BE0C232D4E3442619F9E7AC28E9719E4,31965848,pdf,"019084230X,9780190842307",395137095053
2531758,Give Me Liberty!: An American History,Eric Foner,2019,6,373B5809A48615C90FD30D15EAA7C250,72879885,pdf,"0393418243,9780393418248",4535485581916
2270817,They Say / I Say,"Gerald Graff, Cathy Birkenstein, Russel Durst",2018,4th,53300199e5cc48d957c98cb7c5ba4732,23302236,pdf,978-0393631685,884763458153
3718725,Research Methods for Business Students,"Mark N. K. Saunders, Philip Lewis, Adrian Thornhill",2023,9,44DCD5316B67554E3637DE89FACC9EFD,45487013,pdf,"1292402725,9781292402727",111669355814
4510124,Molecular Biology of the Cell,"Bruce Alberts, Rebecca Heald, Alexander Johnson, David Morgan, Martin Raff, Keith Roberts, Peter Walter",2022,7,9EA61C1F0EEFA471B0252FC274CF8ADB,37680337,pdf,"9780393884821,9780393884630",274878019778
3183343,Medical-Surgical Nursing in Canada: Assessment and Management of Clinical Problems,"Lewis, Bucher, Heitkemper, Harding, Barry, Lok, Tyerman, Goldsworthy",2019,4th Canadian Edition,4617BF47F277EB1453170887A6EC0ACA,173958896,pdf,"9780323328524,9781771720489,9781626239296,9781771720502",1554778173773
2853615,Manifesto of the Communist Party ; Principles of Communism,"Karl Marx, Frederick Engels",2020,,32E38BD8DDA9FAD0F484E26BD7A7EAD9,5672893,pdf,9782491182366,111669235373
408710,Critical Thinking Skills: Developing Effective Analysis and Argument,Stella Cottrell,2005,,7c1cbddab014552e3a14add2d8715c42,12595412,pdf,"1403996857,9781403996855",2723009400444
3238506,english In Use vocabulary grammar phrasal elementary advanced intermediate collocation,Raymond Murphy,2022,,B734D81B683A4342EF95B492E3828447,70957418,pdf,9781316628096,17180021502
3699724,Kellogg on Marketing: The Marketing Faculty of the Kellogg School of Management,"Alexander Chernev, Philip Kotler",2023,3,4B0A91C0EE783ACFEF2B87062D72159B,5103608,pdf,"1119906245,9781119906247",1941325265969
2517810,The Craft of Research,"Wayne C. Booth, Gregory G. Colomb, Joseph M. Williams, Joseph Bizup, William T. FitzGerald",2016,4th.,E6C0CC7EF8D8F764E4D50B2415C1F5F0,1373920,pdf,"9780226239736,022623973X",1065152090948
741359,The Good Research Guide: for small-scale social research projects  ,Martyn Denscombe,2010,Fourth,4b3980adc1039bb65090203499352b99,1593163,pdf,"0335241395,9780335241392",541166059827
2112254,Real World Research,"Colin Robson, Kieran McCartan",2016,4,53b6c1ee0e5e709385a95f4cb5fadfd0,5689108,pdf,"111874523X,9781118745236",996432497663
4137484,Frankenstein Ya Da Modern Prometheus,Mary Shelley,2021,10,9064AFAADA36796FF3EEC34D0FC2CF53,7767848,pdf,9786053327325,377957253466
2564033,Introductory Econometrics: A Modern Approach (MindTap Course List),Jeffrey M. Wooldridge,2019,7,8C8BD4EDE3835389D3B4A5B3BC4C6ED9,11097243,pdf,"1337558869,9781337558860",2851858284773
3149013,A Pocket Style Manual 9th Edition,Diana Hacker; Nancy Sommers,2021,9,40DBE374570B05E80BEE62F6C6C05EAF,139451919,pdf,"9781319169541,1319169546,9781319327569,9781319327606,9781319327590",5832565698694
3052304,Qualitative Inquiry And Research Design: Choosing Among Five Approaches,John W. Creswell,2013,3rd Edition,EA3D09B9DFC20B968EB2FF5CC90B174A,5357037,pdf,"1412995310,9781412995313,1412995302,9781412995306",180388627814
3095113,We the People: An Introduction to American Politics,"Benjamin Ginsberg, Theodore J Lowi, Margaret Weir, Caroline J. Tolbert, Andrea L. Campbell,  and Robert J. Spitzer",2021,13,6E6C3965DFEDE980F6FD879DAE643566,46944584,pdf,"0393538834,9780393538830",7584912304956
4319248,Nicomachean Ethics,Aristotle,2023,2,DD46ABF85E05E6F7443FF7BCB39C04E7,1889283,pdf,"1647921457,9781647921453",240518351817
2196072,"Three-Text Edition of Thomas Hobbes’s Political Theory: The Elements of Law, De Cive and Leviathan","Thomas Hobbes, Deborah Baumgold (ed.)",2017,,e9f3b0af67460634d21202d4e2850470,3628686,pdf,"1107155231,9781107155237",197568670907
3353050,Leadership: Theory and Practice,Peter G. Northouse,2021,9,10245FAC3B5DBB11C4FECDE16190B387,8764120,pdf,"1544397569,9781544397566",2654289979879
2904146,Computer Networking,"James Kurose, Keith Ross",2021,8th Edition,4BF940F1DD67A7B3D7AD7119BECE5DB9,21503599,pdf,"0136681557,9780136681557,0135928613,9780135928615,0135928605,9780135928608,0135928524,9780135928523",257698098523
4293403,The Art of Public Speaking,"Stephen E. Lucas, Paul Stob",2024,13,3AC56E3789DEA599FFEAD376366B7257,70183786,pdf,"1266755233,9781266755231",5411658798097
2594942,Discipline and Punish: The Birth of the Prison,Michel Foucault,2012,,AE3F1BC621EC70779FA28C89AF6995FC,4846990,pdf,"9780307819291,0307819299",2327872382056
3614560,Norton Field Guide to Writing With Reading and Handbook,Richard Bullock,2022,6,2032D9A5211D1004D28217013505DA0B,129401916,pdf,"0393884139,9780393884135",1434519079142
3452559,Principles of Corporate Finance,"Richard A. Brealey, Stewart C. Myers, Franklin Allen, Alex Edmans",2023,14,29B7386C3E029772CF6CB0F5B33D7901,25763714,pdf,9781265074159,61463
923669,Gender Trouble : Feminism and the Subversion of Identity,Judith Butler,2006,,b72a3997092b3f50f584ea608ecfe700,1737583,pdf,"9780203824979,0203824970",4277787474014
3139194,Qualitative research methods for community development,Robert Mark Silverman; Kelly L. Patterson,2021,2,CE8925B8A22B7BB01DDDB77E16C1E1FE,4315094,pdf,"9781000504972,1000504972,9781000504996,1000504999,9781003172925,100317292X",996432423717
486913,Ways of Seeing: Based on the BBC Television Series,John Berger,1990,1st,c64bba657f8132a46de8004f96d7eec5,28455192,pdf,"0140135154,9780140135152",1297080297777
